               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.044639,           0.0071651,                   0,             0.56236,             0.47368,             0.34881,             0.12684,            0.066658,            0.011488,                   0,           0.0051802,           0.0051802,             0.04158
                  91,            0.045235,           0.0072848,                   0,             0.85592,             0.31579,              0.3761,             0.12924,            0.070182,            0.012457,                   0,           0.0052127,           0.0052127,            0.040913
                  92,            0.043251,           0.0067173,                   0,             0.38853,             0.47368,             0.30431,             0.12311,            0.063239,            0.010785,                   0,           0.0052443,           0.0052443,            0.040244
                  93,            0.044753,           0.0069215,                   0,             0.52625,             0.52619,             0.38097,             0.14057,            0.061265,            0.010753,                   0,           0.0052753,           0.0052753,            0.039575
                  94,            0.044693,           0.0067662,                   0,             0.49955,             0.52632,             0.39993,             0.13481,            0.065461,            0.010739,                   0,           0.0053055,           0.0053055,            0.038906
                  95,            0.045451,           0.0069748,                   0,              0.6427,             0.47368,             0.43011,             0.19297,            0.061112,            0.011057,                   0,            0.005335,            0.005335,            0.038235
                  96,            0.043997,           0.0068793,                   0,              0.4732,             0.47368,             0.33859,             0.12382,            0.063878,            0.011384,                   0,           0.0053638,           0.0053638,            0.037564
                  97,            0.043421,           0.0067131,                   0,             0.52901,             0.47368,             0.36168,             0.15563,            0.065837,            0.011126,                   0,           0.0053918,           0.0053918,            0.036892
                  98,            0.044276,           0.0065364,                   0,             0.43676,             0.36842,             0.25064,            0.092414,            0.075082,            0.010822,                   0,           0.0054191,           0.0054191,            0.036219
                  99,            0.043506,           0.0069123,                   0,             0.55536,             0.52592,             0.43035,             0.17484,            0.067406,            0.011324,                   0,           0.0054457,           0.0054457,            0.035546
                 100,            0.050244,           0.0063319,                   0,             0.41611,             0.52632,             0.38357,             0.13014,             0.07231,            0.011075,                   0,           0.0054715,           0.0054715,            0.034871
                 101,            0.042495,           0.0071483,                   0,              0.4228,             0.57831,             0.44029,             0.13008,            0.069865,            0.011323,                   0,           0.0054966,           0.0054966,            0.034197
                 102,            0.045055,             0.00639,                   0,             0.71266,             0.26316,             0.29077,             0.14628,            0.072773,             0.01186,                   0,           0.0055209,           0.0055209,            0.033521
                 103,            0.046367,           0.0068677,                   0,             0.53681,             0.36616,                0.28,             0.11065,            0.073535,            0.012066,                   0,           0.0055444,           0.0055444,            0.032844
                 104,            0.042549,           0.0069883,                   0,             0.30677,             0.42105,             0.23141,            0.098829,            0.073552,            0.011861,                   0,           0.0055673,           0.0055673,            0.032167
                 105,            0.044017,           0.0066331,                   0,             0.41163,             0.36842,             0.32598,              0.1346,            0.071624,            0.011478,                   0,           0.0055893,           0.0055893,            0.031489
                 106,             0.04436,           0.0069316,                   0,             0.49906,             0.26316,             0.22034,            0.095503,            0.074748,            0.011428,                   0,           0.0056106,           0.0056106,            0.030811
                 107,            0.043608,           0.0062159,                   0,             0.49924,             0.47368,             0.39708,             0.11945,            0.072604,            0.011656,                   0,           0.0056312,           0.0056312,            0.030131
                 108,            0.042369,           0.0063159,                   0,             0.41076,             0.36842,             0.23438,             0.10334,            0.075225,            0.011093,                   0,            0.005651,            0.005651,            0.029451
                 109,            0.039785,           0.0058347,                   0,              0.5878,             0.52632,             0.40373,             0.20493,            0.062409,           0.0099449,                   0,             0.00567,             0.00567,             0.02877
                 110,             0.04059,           0.0065081,                   0,             0.69177,             0.47368,              0.4083,             0.17295,            0.067496,            0.010406,                   0,           0.0056883,           0.0056883,            0.028088
                 111,            0.044726,           0.0063923,                   0,             0.57893,             0.57895,             0.41505,             0.15516,            0.063042,            0.010185,                   0,           0.0057059,           0.0057059,            0.027406
                 112,             0.04455,           0.0068486,                   0,             0.69174,             0.47368,             0.39464,               0.175,            0.064668,            0.010833,                   0,           0.0057226,           0.0057226,            0.026723
                 113,            0.045773,            0.006645,                   0,             0.74894,             0.47368,              0.4271,             0.17459,            0.064401,            0.010426,                   0,           0.0057386,           0.0057386,            0.026039
                 114,            0.042515,           0.0067489,                   0,             0.57087,             0.42105,              0.3195,             0.15611,            0.066931,            0.011206,                   0,           0.0057539,           0.0057539,            0.025354
                 115,            0.043541,           0.0061032,                   0,             0.45786,             0.57789,             0.36337,             0.14529,            0.063787,            0.011883,                   0,           0.0057684,           0.0057684,            0.024668
